title,author,edition,publisher,year
"Pemrograman Microsoft Visual Basic 6","Kurniadi Adi","5","Elex Media Computindo","2008"
"Pengenalan Teknologi Informasi","Kadir Abdul","2","Andi Offset","2005"
"Basis Data","Fathansyah","1","Informatika Bandung","2007"
"Etika Komputer","Wahyono Teguh","2","Andi Offset","2009"
"Sistem Operasi","Hariyanto Bambang","4","Informatika Bandung","2009"
"Sistem Operasi","Hariyanto Bambang","3","Informatika Bandung","2007"
"Sistem Operasi","Hariyanto Bambang","2","Informatika Bandung","2005"
"Pengenalan Komputer","Hartono Jogiyanto","5","Andi Offset","2005"
"Arsitektur Komputer","Hartanto Sri","1","BSI Press","2006"
"Sistem Basis Data","Fathansyah","1","Informatika Bandung","2004"
"Pemrograman Berorientasi Objek","Nugroho Adi","","Informatika Bandung","2004"
"Rekayasa Sistem Berorientasi Objek","Hariyanto Bambang","","Informatika Bandung","2004"
"Pengantar Logika dan Algoritma","Yulikuspartono","1","Andi Offset","2004"
"Sistem Operasi","Binanto Iwan","1","Andi Offset","2005"
"Pedoman Panduan Praktikum Microsoft Access 2002","Suarna, Nana","","Yrama Widya","2006"
"Membuat Aplikasi Database dengan Visual Basic.Net","Utomo Eko Priyo","","Yrama Widya","2006"
"Optimalisasi MySql di Visual Basic berbasis Client - Server","Santoso Budi","1","BSI Press","2006"
"Memahami Sistem Informasi","Witarto","1","Informatika Bandung","2004"
"Memahami Pemrograman Delphi 7","Irnawan","","BSI Press","2005"
"Jaringan Komputer","Sukmaaji Anjik","1","Andi Offset","2008"
"Kejahatan Mayantara","Wahid Abdul","","Refika Aditama","2005"
"Teknik Digital","Santosa P.Insap","3","Andi Offset","1996"
"Pendekatan Praktis Belajar Algoritma & Pemrograman dengan Bahasa Delphi 5.0","Kosasih Asep","","Yrama Widya","2006"
"Mengenal Sistem Komputer Masa Kini","Herwindo","","Yrama Widya","2005"
"Enam Langkah Mudah Belajar Myob premiere","Eni Munarsih S.Pd","1","Komunika","2006"
"Keterampilan Dasar Pengoperasian Komputer","Daryanto","V","Yrama Widya","2006"
"Perancangan Database Dengan Power Designer 6.32","Edi Winarko","1","Prestasi Pustaka","2006"
"Learning By Sample Visual Basic 2008","Rizky Soetarm","","Prestasi Pustaka","2010"
"Pemrograman Database dengan Visual Basic 6 untuk Orang Awam","Firdaus","","Maxikom","2005"
"Microsoft Visual Basic 6.0 & Crystal Report 2008","Madcoms","1","Andi Offset","2010"
